Titre,auteur,Genre,publication,Payslivre,Affiche,film,Réalisateur,Producteur,sortiefilm,Paysfilm,Ratings
Le fantôme de l'opéra,Gaston Leroux,Fantastique,1910,France,http://www.imdb.com/media/rm4012874752/tt0056347?ref_=tt_ov_i,The Phantom of the Opera,Terence Fisher,Hammer Film Productions,1962,UK,"6,4"
Le fantôme de l'opéra,Gaston Leroux,Fantastique,1910,France,http://www.imdb.com/media/rm208576256/tt0119889?ref_=tt_ov_i,Il fantasma dell'opera,Dario Argento,Medusa Film,1998,Italie,"4,2"
Le fantôme de l'opéra,Gaston Leroux,Fantastique,1910,France,http://www.imdb.com/media/rm2122358016/tt0098090?ref_=tt_ov_i,The Phantom of the Opera,Dwight H. Little,21st Century Film Corporation,1989,USA,"5,4"
Le fantôme de l'opéra,Gaston Leroux,Fantastique,1910,France,http://www.imdb.com/media/rm3963456512/tt0293508?ref_=tt_ov_i,The Phantom of the Opera,Joel Schumacher,Warner Bros.,2004,UK | USA,"7,4"
Schneewittchen,Jacob et Wilhelm Grimm,Conte,1812,Allemagne,http://www.imdb.com/media/rm1672720384/tt1667353?ref_=tt_ov_i,Mirror Mirror,Tarsem Singh,Relativity Media,2012,USA,"5,6"
Schneewittchen,Jacob et Wilhelm Grimm,Conte,1812,Allemagne,http://www.imdb.com/media/rm3994923520/tt1735898?ref_=tt_ov_i,Snow White and the Huntsman,Rupert Sanders,Universal pictures,2012,USA,"6,2"
Schneewittchen,Jacob et Wilhelm Grimm,Conte,1812,Allemagne,http://www.imdb.com/media/rm1809233664/tt0029583?ref_=tt_ov_i,Snow White and the Seven Dwarfs,William Cottrell,Walt Disney,1937,USA,"7,7"
Schneewittchen,Jacob et Wilhelm Grimm,Conte,1812,Allemagne,http://www.imdb.com/media/rm3099761664/tt0119227?ref_=tt_ov_i,Snow White: A Tale of Terror,Michael Cohn,Polygram Filmed Entertainment,1997,USA,"6,3"
Schneewittchen,Jacob et Wilhelm Grimm,Conte,1812,Allemagne,http://www.imdb.com/media/rm1844158208/tt0267155?ref_=tt_ov_i,Branca de Neve,João César Monteiro,Madragoa Filmes,2000,Portugal,"4,6"
Schneewittchen,Jacob et Wilhelm Grimm,Conte,1812,Allemagne,http://www.imdb.com/media/rm1515770368/tt2149137?ref_=tt_ov_i,Snow White: A Deadly Summer,David DeCoteau,Hybrid Presents,2012,USA,"2,2"
Le mystère de la chambre jaune,Gaston Leroux,policier,1908,France,http://www.imdb.com/media/rm3938360576/tt0356922?ref_=tt_ov_i,Le mystère de la chambre jaune,Bruno Podalydès,Canal +,2003,France,"6,4"
Le mystère de la chambre jaune,Gaston Leroux,policier,1908,France,http://www.imdb.com/media/rm1658244352/tt0021168?ref_=tt_ov_i,Le mystère de la chambre jaune,Marcel L'Herbier,Les Films Osso,1930,France,"6,9"
Le mystère de la chambre jaune,Gaston Leroux,policier,1908,France,N/A,Le mystère de la chambre jaune,Emile Chautard,Société Française des Films Éclair,1913,France,N/A
Les mystères de Paris,Eugène Sue,Thriller,1842,France,http://www.imdb.com/media/rm2327810560/tt0056268?ref_=tt_ov_i,Les mystères de Paris,André Hunebelle,Da.Ma. Cinematografica,1962,France,"6,2"
Les mystères de Paris,Eugène Sue,Thriller,1842,France,N/A,Les mystères de Paris,Jacques de Baroncelli,DisCina,1943,France,"6,5"
Poil de carotte,Jules Renard,Fiction,1894,France,http://www.imdb.com/media/rm3554839296/tt0023345?ref_=tt_ov_i,Poil de carotte,Julien Duvivier,Les Films Marcel Vandal et Charles Delac,1932,France,"7,5"
Poil de carotte,Jules Renard,Fiction,1894,France,http://www.imdb.com/media/rm3883520512/tt0069108?ref_=tt_ov_i,Poil de carotte,Henri Graziani,Cinequanon,1973,France,"5,2"
"Oliver Twist, or, The Parish Boy's Progress",Charles Dickens,Fiction,1838,UK,http://www.imdb.com/media/rm285711360/tt0024405?ref_=tt_ov_i,Oliver Twist,William J. Cowen,Monogram Pictures,1933,USA,"4,9"
"Oliver Twist, or, The Parish Boy's Progress",Charles Dickens,Fiction,1838,UK,http://www.imdb.com/media/rm725262080/tt0040662?ref_=tt_ov_i,Oliver Twist,David Lean,Cineguild,1948,UK,"7,8"
"Oliver Twist, or, The Parish Boy's Progress",Charles Dickens,Fiction,1838,UK,http://www.imdb.com/media/rm2387844864/tt0272226?ref_=tt_ov_i,Oliver Twist,Hal Sutherland,Filmation Associates,1974,USA,"6,3"
"Oliver Twist, or, The Parish Boy's Progress",Charles Dickens,Fiction,1838,UK,http://www.imdb.com/media/rm4255096320/tt0095776?ref_=tt_ov_i,Oliver & Company,George Scribner,Walt Disney,1988,USA,"6,7"
"Oliver Twist, or, The Parish Boy's Progress",Charles Dickens,Fiction,1838,UK,http://www.imdb.com/media/rm893230336/tt0380599?ref_=tt_ov_i,Oliver Twist,Roman Polanski,R.P. Productions,2005,UK | République Tchèque,"6,9"
A Christmas Carol,Charles Dickens,Conte,1843,UK,http://www.imdb.com/media/rm403363072/tt0044008?ref_=tt_ov_i,Scrooge,Brian Desmond Hurst,George Minter Productions,1951,UK,"8,1"
A Christmas Carol,Charles Dickens,Conte,1843,UK,http://www.imdb.com/media/rm735878656/tt0029992?ref_=tt_ov_i,A Christmas Carol,Edwin L. Marin,Metro-Goldwyn-Mayer (MGM),1938,USA,"7,5"
A Christmas Carol,Charles Dickens,Conte,1843,UK,http://www.imdb.com/media/rm2890238208/tt1067106?ref_=tt_ov_i,A Christmas Carol,Robert Zemeckis,Walt Disney,2009,USA,"6,8"
A Christmas Carol,Charles Dickens,Conte,1843,UK,http://www.imdb.com/media/rm528539392/tt2294459?ref_=tt_ov_i,A Christmas Carol,Jason Figgis,October Eleven Pictures Ltd,2012,Irlande,"5,9"
White Fang,Jack London,Aventure,1906,USA,http://www.imdb.com/media/rm2581109760/tt0103247?ref_=tt_ov_i,White Fang,Randal Kleiser,Walt Disney,1991,USA,"6,6"
White Fang,Jack London,Aventure,1906,USA,http://www.imdb.com/media/rm856989440/tt0072436?ref_=tt_ov_i,Zanna Bianca alla riscossa,Tonino Ricci,Paneuropean Production Pictures,1974,Italie,"5,7"
White Fang,Jack London,Aventure,1906,USA,http://www.imdb.com/media/rm4279158784/tt0360007?ref_=tt_ov_i,La spacconata,Alfonso Brescia,Pleiade Film,1975,Italie,"4,9"
Jason Bourne : The Bourne Identity,Robert Ludlum,Espionnage,1980,USA,http://www.imdb.com/media/rm4112816384/tt0258463?ref_=tt_ov_i,The Bourne identity,Doug Liman,Universal Pictures,2002,USA,"7,9"
Jason Bourne ,Robert Ludlum,Espionnage,1980,USA,http://www.imdb.com/media/rm1421323008/tt1194173?ref_=tt_ov_i,The Bourne legacy,Tony Gilroy,Universal Pictures,2012,USA,"6,7"
Captain America,"Jack Kirby,  Joe Simon",Super-héros,1940,USA,http://www.imdb.com/media/rm1712168704/tt0078937?ref_=tt_ov_i,Captain America,Rod Holcomb,Universal TV,1979,USA,"3,6"
Captain America,"Jack Kirby,  Joe Simon",Super-héros,1940,USA,http://www.imdb.com/media/rm27369216/tt0036697?ref_=tt_ov_i,Captain America,"Elmer Clifton, John English",Republic Pictures,1944,USA,"6,2"
Captain America,"Jack Kirby,  Joe Simon",Super-héros,1940,USA,http://www.bleedingcool.com/2014/10/24/eriks-weekly-watch-return-to-gotham-not-the-comic-book-show-we-deserve/gotham-balloon-man/,Captain America,Albert Pyun,21st Century Film Corporation,1990,USA,"3,2"
Captain America,"Jack Kirby,  Joe Simon",Super-héros,1940,USA,http://www.imdb.com/media/rm2438905344/tt0458339?ref_=tt_ov_i,Captain America: The First Avenger,Joe Johnston,Marvel Entertainment,2011,USA,"6,8"
Captain America,"Jack Kirby,  Joe Simon",Super-héros,1940,USA,http://www.imdb.com/media/rm3643984384/tt1843866?ref_=tt_ov_i,Captain America: The Winter Soldier,Anthony Russo,Marvel Entertainment,2014,USA,"7,9"
The Thirty-Nine Steps,John Buchan,Espionnage ,1915,UK,http://www.imdb.com/media/rm4130440192/tt0026029?ref_=tt_ov_i,The 39 Steps,Alfred Hitchcock,Gaumont British Picture ,1935,UK,"7,9"
The Thirty-Nine Steps,John Buchan,Espionnage ,1915,UK,http://www.imdb.com/media/rm410571264/tt0053354?ref_=tt_ov_i,The 39 Steps,Ralph Thomas,Rank Organisation,1959,UK,"6,6"
The Thirty-Nine Steps,John Buchan,Espionnage ,1915,UK,http://www.imdb.com/media/rm293261824/tt0078389?ref_=tt_ov_i,The Thirty-Nine Steps,Don Sharp,Rank Organisation,1978,UK,"6,6"
Wuthering Heights,Emily Brontë,Romance,1925,UK,http://upload.wikimedia.org/wikipedia/commons/9/9f/Wuthering_Heights_1920.jpg,Wuthering Heights,A.V. Bramble,Ideal,1920,UK,"7,7"
Wuthering Heights,Emily Brontë,Romance,1925,UK,http://www.imdb.com/media/rm2146483712/tt0032145?ref_=tt_ov_i,Wuthering Heights,William Wyler,Samuel Goldwyn Company,1939,USA,"7,8"
Wuthering Heights,Emily Brontë,Romance,1925,UK,http://www.imdb.com/media/rm1706922496/tt0095786?ref_=tt_ov_i,Arashi ga oka,Yoshishige Yoshida,Mediactuel,1988,Japon,"7,2"
Wuthering Heights,Emily Brontë,Romance,1925,UK,http://3.bp.blogspot.com/-OMpBTccTuYI/UV06uHT1aeI/AAAAAAAAA84/BtmvnmRI9xg/s1600/abis.jpg,Abismos de pasión,Luis Buñuel,Producciones Tepeyac,1953,Mexique,"6,9"
Wuthering Heights,Emily Brontë,Romance,1925,UK,http://www.imdb.com/media/rm4153777920/tt0104181?ref_=tt_ov_i,Wuthering Heights,Peter Kosminsky,Paramount Pictures,1992,UK | USA,"6,9"
Wuthering Heights,Emily Brontë,Romance,1925,UK,http://www.imdb.com/media/rm2754390272/tt1181614?ref_=tt_ov_i,Wuthering Heights,Andrea Arnold,Ecosse Films,2011,UK,"6,1"
Wuthering Heights,Emily Brontë,Romance,1925,UK,http://www.imdb.com/media/rm3274350080/tt0066585?ref_=tt_ov_i,Wuthering Heights,Robert Fuest,American International Pictures ,1970,UK,"6,6"
Wuthering Heights,Emily Brontë,Romance,1925,UK,http://www.imdb.com/media/rm2469239808/tt0089312?ref_=tt_ov_i,Hurlevent,Jacques Rivette,La Cecilia,1985,France,"6,4"
Il Gattopardo,Giuseppe Tomasi di Lampedusa,Historique,1958,Italie,http://www.imdb.com/media/rm246856192/tt0057091?ref_=tt_ov_i,Il gattopardo,Luchino Visconti,Titanus,1963,Italie,"8,1"
Carrie,Stephen King,Horreur,1974,USA,http://www.imdb.com/media/rm279755264/tt0074285?ref_=tt_ov_i,Carrie,Brian De Palma,Metro-Goldwyn-Mayer (MGM),1976,USA,"7,4"
Carrie,Stephen King,Horreur,1974,USA,http://www.imdb.com/media/rm3312246528/tt1939659?ref_=tt_ov_i,Carrie,Kimberly Peirce,Metro-Goldwyn-Mayer (MGM),2013,USA,6
Dreamcatcher,Stephen King,Horreur,2001,USA,http://www.imdb.com/media/rm842042368/tt0285531?ref_=tt_ov_i,Dreamcatcher,Lawrence Kasdan,Castle Rock Entertainment,2003,USA,"5,5"
The Maltese Falcon,Dashiell Hammett,Policier,1930,USA,http://www.imdb.com/media/rm1499972352/tt0022111?ref_=tt_ov_i,The Maltese Falcon,Roy Del Ruth,Warner Bros.,1931,USA,"7,5"
The Maltese Falcon,Dashiell Hammett,Policier,1930,USA,http://www.imdb.com/media/rm2791949056/tt0033870?ref_=tt_ov_i,The Maltese Falcon,John Huston,Warner Bros.,1941,USA,"8,2"
The Maltese Falcon,Dashiell Hammett,Policier,1930,USA,http://www.imdb.com/media/rm1794087936/tt0028219?ref_=tt_ov_i,Satan Met a Lady,William Dieterle,Warner Bros.,1936,USA,"6,2"
The Maltese Falcon,Dashiell Hammett,Policier,1930,USA,http://www2.alibris-static.com/cover/u59545bqxrb.jpg,Target: Harry,Roger Corman,Corman Company,1969,USA,5
True Grit,Charles Portis,Western,1968,USA,http://www.imdb.com/media/rm3033830144/tt0065126?ref_=tt_ov_i,True Grit,Henry Hathaway,Paramount Pictures,1969,USA,"7,7"
True Grit,Charles Portis,Western,1968,USA,http://www.imdb.com/media/rm3393815552/tt1403865?ref_=tt_ov_i,True Grit,"Ethan Coen, Joel Coen",Paramount Pictures,2010,USA,"7,7"
Brighton Rock,Graham Greene,Thriller,1938,UK,http://www.imdb.com/media/rm550411264/tt0039220?ref_=tt_ov_i,Brighton Rock,John Boulting,Associated British Picture Corporation,1947,UK,"7,5"
Brighton Rock,Graham Greene,Thriller,1938,UK,http://www.imdb.com/media/rm1864860928/tt1233192?ref_=tt_ov_i,Brighton Rock,Rowan Joffe,StudioCanal,2010,UK,"5,8"
Lord of the Flies,William Golding,Thriller,1954,UK,http://www.imdb.com/media/rm3712261888/tt0057261?ref_=tt_ov_i,Lord of the Flies,Peter Brook,Two Arts Ltd.,1963,UK,7
Lord of the Flies,William Golding,Thriller,1954,UK,http://www.imdb.com/media/rm3966089728/tt0100054?ref_=tt_ov_i,Lord of the Flies,Harry Hook,Metro-Goldwyn-Mayer (MGM),1990,USA,"6,4"
The big sleep,Raymond Chandler,Thriller,1939,USA,http://www.imdb.com/media/rm613663488/tt0038355?ref_=tt_ov_i,The Big Sleep,Howard Hawks,Warner Bros.,1946,USA,"8,1"
The big sleep,Raymond Chandler,Thriller,1939,USA,http://www.imdb.com/media/rm2153553408/tt0077234?ref_=tt_ov_i,The Big Sleep,Michael Winner,Incorporated Television Company ,1978,UK,"5,7"
Cendrillon ou la Petite Pantoufle de verre,Charles Perrault,Conte,1697,France,http://www.imdb.com/media/rm500220928/tt0042332?ref_=tt_ov_i,Cinderella,Clyde Geronimi,Walt Disney,1950,USA,"7,3"
Cendrillon ou la Petite Pantoufle de verre,Charles Perrault,Conte,1697,France,http://www.imdb.com/media/rm137010688/tt0120631?ref_=tt_ov_i,EverAfter,Andy Tennant, 20th Century Fox Studios ,1998,USA,"6,9"
Cendrillon ou la Petite Pantoufle de verre,Charles Perrault,Conte,1697,France,http://www.imdb.com/media/rm1378652672/tt0308353?ref_=tt_ov_i,Happily N'Ever After,Paul Bolger,Lionsgate,2006,USA / Allemagne,"4,5"
Cendrillon ou la Petite Pantoufle de verre,Charles Perrault,Conte,1697,France,http://www.imdb.com/media/rm174567680/tt1435990?ref_=tt_ov_i,Cendrillon au Far West,Pascal Hérold,Herold and Family,2012,France,"3,7"
Cendrillon ou la Petite Pantoufle de verre,Charles Perrault,Conte,1697,France,http://www.imdb.com/media/rm589101056/tt1661199?ref_=tt_ov_i,Cinderella,Kenneth Branagh,Walt Disney,2015,USA,N/A
Cendrillon ou la Petite Pantoufle de verre,Charles Perrault,Conte,1697,France,http://www.imdb.com/media/rm1182964992/tt0053716?ref_=tt_ov_i,Cinderfella,Frank Tashlin,Jerry Lewis Productions,1960,USA,"5,9"
Cendrillon ou la Petite Pantoufle de verre,Charles Perrault,Conte,1697,France,http://www.imdb.com/media/rm1224056064/tt0070832?ref_=tt_ov_i,Tri orísky pro Popelku,Václav Vorlícek,Deutsche Film,1973,Tchékoslovaquie | RDA,8
Cendrillon ou la Petite Pantoufle de verre,Charles Perrault,Conte,1697,France,http://www.imdb.com/media/rm682401024/tt0356470?ref_=tt_ov_i,A Cinderella Story,Mark Rosman,Warner Bros.,2004,USA,"5,8"
Les Schtroumpfs,Peyo,Bande dessinée,1958,Belgique,http://www.imdb.com/media/rm481016576/tt0472181?ref_=tt_ov_i,The Smurfs,Raja Gosnell,Columbia Pictures,2011,USA,"5,5"
L'élève Ducobu,Zidrou,Bande dessinée,1992,Belgique,http://www.imdb.com/media/rm3038494208/tt1810864?ref_=tt_ov_i,L'élève Ducobu,Philippe de Chauveron,Union Générale Cinématographique (UGC),2011,France,"4,7"
Vierundzwanzig Stunden aus dem Leben einer Frau,Stefan Zweig,Drama,1927,Allemagne,N/A,Vingt-quatre heures de la vie d'une femme,Dominique Delouche,Progéfi,1928,France,"6,9"
Vierundzwanzig Stunden aus dem Leben einer Frau,Stefan Zweig,Drama,1927,Allemagne,N/A,Vingt-quatre heures de la vie d'une femme, Laurent Bouhnik,Centre National de la Cinématographie (CNC),2002,France,"6,3"
Revolutionary Road ,Richard Yates,Drama,1961,USA,http://www.imdb.com/media/rm1508349184/tt0959337?ref_=tt_ov_i,Revolutionary Road,Sam Mendes,DreamWorks SKG,2008,USA,"7,4"
 Fahrenheit 451,Ray Bradbury,Science-fiction ,1953,USA,http://www.imdb.com/media/rm3494892544/tt0060390?ref_=tt_ov_i, Fahrenheit 451,François Truffaut,Anglo Enterprises,1966,UK,"7,2"
Trainspotting, Irvine Welsh,Drama,1993,UK,http://www.imdb.com/media/rm1847908608/tt0117951?ref_=tt_ov_i,Trainspotting,Danny Boyle,Channel Four Films,1996,UK,"8,2"
The Help,Kathryn Stockett,Drama,2009,USA,http://www.imdb.com/media/rm925546496/tt1454029?ref_=tt_ov_i,The Help,Tate Taylor,DreamWorks SKG ,2011,USA,"8,1"
Misery,Stephen King,Thriller,1987,USA,http://www.imdb.com/media/rm4247370240/tt0100157?ref_=tt_ov_i,Misery,Rob Reiner,Castle Rock Entertainment ,1990,USA,"7,8"
The Shining,Stephen King,Horreur,1977,USA,http://www.imdb.com/media/rm4286372096/tt0081505?ref_=tt_ov_i,The Shining,Stanley Kubrick, Warner Bros.,1980,USA,"8,5"
Christine,Stephen King,Fantastique,1983,USA,http://www.imdb.com/media/rm430284288/tt0085333?ref_=tt_ov_i,Christine,John Carpenter, Columbia Pictures Corporation,1983,USA,"6,6"
The Dead Zone,Stephen King,Fantastique,1979,USA,http://www.imdb.com/media/rm2195691776/tt0085407?ref_=tt_ov_i,The Dead Zone, David Cronenberg,Dino De Laurentiis Company,1983,USA,"7,3"
Thinner,Stephen King,Horreur,1984,USA,http://www.imdb.com/media/rm3419905280/tt0117894?ref_=tt_ov_i,Thinner,Tom Holland, Paramount Pictures,1996,USA,"5,6"
The Green Mile,Stephen King,Fantastique,1996,USA,http://www.imdb.com/media/rm946247936/tt0120689?ref_=tt_ov_i,The Green Mile, Frank Darabont, Castle Rock Entertainment,1999,USA,"8,5"
The Virgin Suicides,Jeffrey Eugenides,Drama,1993,USA,http://www.imdb.com/media/rm1082436608/tt0159097?ref_=tt_ov_i,The Virgin Suicides,Sofia Coppola,American Zoetrope,1999,USA,"7,2"
Black Sunday,Thomas Harris,Thriller,1975,USA,http://www.imdb.com/media/rm3874528256/tt0075765?ref_=tt_ov_i,Black Sunday,John Frankenheimer, Paramount Pictures,1977,USA,"6,8"
Red Dragon,Thomas Harris,Thriller,1981,USA,http://www.imdb.com/media/rm3039931392/tt0091474?ref_=tt_ov_i,Manhunter, Michael Mann,De Laurentiis Entertainment Group (DEG),1986,USA,"7,2"
Red Dragon,Thomas Harris,Thriller,1981,USA,http://www.imdb.com/media/rm508598272/tt0289765?ref_=tt_ov_i,Red dragon, Brett Ratner, Universal Pictures,2002,USA,"7,2"
The Silence of the Lambs,Thomas Harris,Thriller,1988,USA,http://www.imdb.com/media/rm2923739648/tt0102926?ref_=tt_ov_i,The Silence of the Lambs,Jonathan Demme,Strong Heart | Demme Production,1991,USA,"8,6"
Hannibal,Thomas Harris,Thriller,1999,USA,http://www.imdb.com/media/rm2541147136/tt0212985?ref_=tt_ov_i,Hannibal, Ridley Scott,Metro-Goldwyn-Mayer (MGM),2001,USA,"6,7"
Hannibal Rising,Thomas Harris,Thriller,2006,USA,http://www.imdb.com/media/rm3760886272/tt0367959?ref_=tt_ov_i,Hannibal Rising,Peter Webber,Young Hannibal Productions,2007, UK | République Tchèque | France | Italie,"6,2"
Into the Wild,Jon Krakauer,Biographie,1996,USA,http://www.imdb.com/title/tt0758758/?ref_=ttco_co_tt,Into the Wild, Sean Penn ,Paramount Vantage,2007,USA,"8,2"
The Notebook ,Nicholas Sparks,Drama | Romance,1996,USA,http://www.imdb.com/media/rm1153669376/tt0332280?ref_=tt_ov_i,The Notebook, Nick Cassavetes, New Line Cinema,2004,USA,8
Message in a bottle,Nicholas Sparks, Drama | Romance  ,1998,USA,http://www.imdb.com/media/rm2455346176/tt0139462?ref_=tt_ov_i,Message in a bottle,Luis Mandoki, Bel Air Entertainment,1999,USA,"6,1"
A walk to remember ,Nicholas Sparks,Drama | Romance ,1999,USA,http://www.imdb.com/media/rm1016629504/tt0281358?ref_=tt_ov_i,A walk to remember ,Adam Shankman, Warner Bros.,2002,USA,"7,4"
Nights in Rodanthe,Nicholas Sparks,  Drama | Romance,2002,USA,http://www.imdb.com/media/rm1241027840/tt0956038?ref_=tt_ov_i,Nights in Rodanthe,George C. Wolfe,Warner Bros.,2008,USA,"5,9"
Dear John,Nicholas Sparks,Drama | Romance | War  ,2006,USA,http://www.imdb.com/media/rm2761985536/tt0989757?ref_=tt_ov_i,Dear John,Lasse Hallström, Screen Gems,2010,USA,"6,3"
The Lucky One,Nicholas Sparks,  Drama | Romance,2008,USA,http://www.imdb.com/media/rm4285707008/tt1327194?ref_=tt_ov_i,The Lucky One,Scott Hicks,Warner Bros.,2012,USA,"6,5"
The Last Song,Nicholas Sparks,  Drama | Romance,2009,USA,http://www.imdb.com/media/rm1355665920/tt1294226?ref_=tt_ov_i,The Last Song,Julie Anne Robinson, Touchstone Pictures,2010,USA,"5,7"
Safe Haven,Nicholas Sparks,Drama | Romance | Thriller ,2010,USA,http://www.imdb.com/media/rm3990463232/tt1702439?ref_=tt_ov_i,Safe Haven,Lasse Hallström,Relativity Media,2013,USA,"6,7"
The Best of Me,Nicholas Sparks,  Drama | Romance,2011,USA,http://www.imdb.com/media/rm523619584/tt1972779?ref_=tt_ov_i,The Best of Me,Michael Hoffman, DiNovi Pictures,2014,USA,"6,3"
Gone Girl,Gillian Flynn,Thriller,2012,USA,http://www.imdb.com/media/rm2766521344/tt2267998?ref_=tt_ov_i,Gone Girl,David Fincher, 20th Century Fox Studios ,2014,USA,"8,4"
Tell No One,Harlan Coben,Thriller,2001,USA,http://www.imdb.com/media/rm711104256/tt0362225?ref_=tt_ov_i,Ne le dis à personne,Guillaume Canet,Les Productions du Trésor,2006,France,"7,6"
"Eat, Pray, Love : One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,Drama,2006,USA,http://www.imdb.com/media/rm2612429312/tt0879870?ref_=tt_ov_i,Eat Pray Love,Ryan Murphy, Columbia Pictures,2010,USA,"5,6"
Ten Little Niggers,Agatha Christie,Policier,1939, UK,http://www.imdb.com/media/rm3106511872/tt0037515?ref_=tt_ov_i,And Then There Were None,René Clair, Rene Clair Productions,1945,USA,"7,6"
Ten Little Niggers,Agatha Christie,Policier,1939, UK,http://www.imdb.com/media/rm3574176768/tt0061075?ref_=tt_ov_i,Ten Little Indians,George Pollock, Tenlit Films Ltd.,1965,UK,"6,7"
Ten Little Niggers,Agatha Christie,Policier,1939, UK,http://www.imdb.com/media/rm3758071040/tt0072263?ref_=tt_ov_i,Ein Unbekannter rechnet ab,Peter Collinson,Corona Filmproduktion,1974, Italie | RFA | France | Espagne | UK,"5,8"
Ten Little Niggers,Agatha Christie,Policier,1939, UK,N/A,Десять негритят,Stanislav Govoroukhine, Odessa Film Studios,1987,Union soviétique,8
Ten Little Niggers,Agatha Christie,Policier,1939, UK,http://www.imdb.com/media/rm1605082880/tt0098454?ref_=tt_ov_i,Ten Little Indians,Alan Birkinshaw, Breton Film Productions,1989,UK,"4,7"
Peril at End House,Agatha Christie,Policier,1932, UK,N/A,Zagadka Endkhauza,Vadim Derbenyov, Krug,1989,Union soviétique,"6,1"
Lord Edgware Dies,Agatha Christie,Policier,1933,UK,N/A,Lord Edgware Dies,Henry Edwards, Real Art Productions,1934,UK,"4,9"
Death on the Nile,Agatha Christie,Policier,1937,UK,http://www.imdb.com/media/rm2632752128/tt0077413?ref_=tt_ov_i,Death on the Nile,John Guillermin, EMI Films,1978,UK,"7,2"
Towards Zero,Agatha Christie,Policier,1944,UK,http://www.imdb.com/media/rm1429773568/tt0113249?ref_=tt_ov_i,Innocent Lies, Patrick Dewolf, Polygram Filmed Entertainment,1995,UK | France | Allemagne,"4,8"
Towards Zero,Agatha Christie,Policier,1944,UK,http://www.imdb.com/media/rm484278272/tt0889606?ref_=tt_ov_i,L'Heure zéro,Pascal Thomas, Les Films Français ,2007,France,"5,8"
Mrs McGinty's Dead,Agatha Christie,Policier,1952,UK,http://www.imdb.com/media/rm2900335616/tt0058383?ref_=tt_ov_i,Murder Most Foul,George Pollock,Lawrence P. Bachmann Productions,1964,UK,"7,2"
Appointment with Death,Agatha Christie,Policier,1938,UK,http://www.imdb.com/media/rm3925972736/tt0094669?ref_=tt_ov_i,Appointment with Death, Michael Winner, Golan-Globus Productions,1988, USA,"6,1"
The Hollow,Agatha Christie,Policier,1946,UK,N/A, Le Grand Alibi, Pascal Bonitzer, Union Générale Cinématographique (UGC),2008,France,"5,4"
L’Étranger,Albert Camus,Drama,1942,France,http://www.imdb.com/media/rm1773914112/tt0062310?ref_=tt_ov_i,Lo straniero,Luchino Visconti , Dino de Laurentiis Cinematografica,1967,Italie | France | Algérie,"7,4"
Harry Potter and the Philosopher's Stone ,J. K. Rowling,Fantasy ,1997,UK,http://www.imdb.com/media/rm270966272/tt0241527?ref_=tt_ov_i,Harry Potter and the Sorcerer's Stone, Chris Columbus,Warner Bros.,2001,UK | USA,"7,4"
 Harry Potter and the Chamber of Secrets,J. K. Rowling,Fantasy ,1998,UK,http://www.imdb.com/media/rm1029675264/tt0295297?ref_=tt_ov_i,Harry Potter and the Chamber of Secrets,Chris Columbus,Warner Bros.,2002,UK | USA,"7,2"
 Harry Potter and the Prisoner of Azkaban,J. K. Rowling,Fantasy ,1999,UK,http://www.imdb.com/media/rm3241184256/tt0304141?ref_=tt_ov_i,Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,Warner Bros.,2004,UK | USA,"7,8"
 Harry Potter and the Goblet of Fire,J. K. Rowling,Fantasy ,2000,UK,http://www.imdb.com/media/rm436509952/tt0330373?ref_=tt_ov_i,Harry Potter and the Goblet of Fire, Mike Newell,Warner Bros.,2005,UK | USA,"7,6"
 Harry Potter and the Order of the Phoenix,J. K. Rowling,Fantasy ,2003,UK,http://www.imdb.com/media/rm103520512/tt0373889?ref_=tt_ov_i,Harry Potter and the Order of the Phoenix,Davis Yates,Warner Bros.,2007,UK | USA,"7,4"
 Harry Potter and the Half-Blood Prince,J. K. Rowling,Fantasy ,2005,UK,http://www.imdb.com/media/rm282560512/tt0417741?ref_=tt_ov_i, Harry Potter and the Half-Blood Prince,Davis Yates,Warner Bros.,2009,UK | USA,"7,5"
Harry Potter and the Deathly Hallows,J. K. Rowling,Fantasy ,2007,UK,http://www.imdb.com/media/rm706774528/tt0926084?ref_=tt_ov_i,Harry Potter and the Deathly Hallows: Part 1,David Yates,Warner Bros.,2010,UK | USA,"7,7"
Harry Potter and the Deathly Hallows,J. K. Rowling,Fantasy ,2007,UK,http://www.imdb.com/media/rm1317518848/tt1201607?ref_=tt_ov_i,Harry Potter and the Deathly Hallows: Part 2,David Yates,Warner Bros.,2011,UK | USA,"8,1"
Interview with the Vampire,Anne Rice,Horreur,1976,USA,http://www.imdb.com/media/rm3336739840/tt0110148?ref_=tt_ov_i,Interview with the Vampire: The Vampire Chronicles, Neil Jordan, Geffen Pictures ,1994,USA,"7,6"
Queen of the Damned,Anne Rice,Horreur,1988,USA,http://www.imdb.com/media/rm3572144384/tt0238546?ref_=tt_ov_i,Queen of the Damned,Michael Rymer, Warner Bros.,2002,USA | Australia,"5,2"
Life of Pi,Yann Martel,Aventure,2001,Canada,http://www.imdb.com/media/rm763276032/tt0454876?ref_=tt_ov_i,Life of Pi,Ang Lee, Fox 2000 Pictures,2012,USA | Taiwan | UK | Canada,8
